gps_time,heading,pitch,roll,gyroX,gyroY,gyroZ,accX,accY,accZ,latitude,longitude,east_speed,north_speed,position_type,GNSS_info1,GNSS_info2,vehicle_lat_speed,vehicle_lon_speed
184212740,227.1,-1.12,1.06,0.0074800000000000005,-2.27286,2.9988,-0.011361,-0.030236,0.9902489999999999,31.331407326,121.22375319100001,-2.59,-3.33,50,1,188,4.202434903565568,4.1640866014925075
184212760,227.04,-1.1300000000000001,1.02,-0.06199,-1.9813200000000002,3.2524100000000002,-0.049886,-0.02454,0.9972789999999999,31.331406726,121.22375264600001,-2.58,-3.33,50,1,188,4.195230768706795,4.157474242211116
184212780,226.98000000000002,-1.1400000000000001,0.99,-0.76729,-1.7815600000000003,3.1373300000000004,-0.033063999999999996,-0.028723,1.008147,31.331406125,121.223752102,-2.58,-3.34,50,1,188,4.2021403978999885,4.165005288828433
184212800,226.91,-1.16,0.96,-1.2570100000000002,-1.22825,3.2948500000000003,-0.032343,-0.017145,1.016422,31.331405524,121.223751558,-2.58,-3.34,50,1,188,4.201657795225153,4.165835048276882
184212820,226.84,-1.19,0.9500000000000001,-1.24966,-0.68218,3.3233500000000005,-0.020953,-0.015581999999999999,0.9916649999999999,31.331404923,121.223751015,-2.58,-3.34,50,1,188,4.201168921050132,4.166658589695078
184212840,226.78,-1.2,0.9400000000000001,-0.5594300000000001,-0.6389,3.31292,-0.021613,-0.021844,0.94199,31.331404322,121.22375047300001,-2.58,-3.34,50,1,188,4.200744894993658,4.167359532362722
184212860,226.71,-1.19,0.9400000000000001,0.36738000000000004,-0.36181,3.1609100000000003,-0.038203999999999995,-0.008634,0.977007,31.33140372,121.22374993000001,-2.57,-3.34,50,1,188,4.19338746246817,4.160892598311688
184212880,226.66,-1.19,0.9400000000000001,0.18368,0.012910000000000001,2.86905,-0.011868,-0.028679999999999997,0.983869,31.331403117,121.22374938700001,-2.58,-3.34,50,1,188,4.1998830234552536,4.168747706872281
184212900,226.6,-1.18,0.9400000000000001,0.08365,0.09440000000000001,2.80309,-0.047715999999999995,-0.014187,0.9958549999999999,31.331402515,121.22374884400001,-2.57,-3.35,50,1,188,4.1998400505201365,4.1690400655902256
184212920,226.55,-1.19,0.93,-0.5770000000000001,-0.5576800000000001,2.63798,-0.018345,-0.011557999999999999,1.003541,31.331401911,121.223748301,-2.57,-3.35,50,1,188,4.199459325507602,4.169621601507057
184212940,226.49,-1.22,0.91,-1.13047,-1.1314600000000001,2.8288,-0.065804,-0.033726,1.02542,31.331401308,121.223747759,-2.57,-3.35,50,1,188,4.198998234064584,4.170315253108785
184212960,226.44,-1.23,0.89,-0.54117,-0.9936300000000001,2.6849000000000003,-0.035889,-0.00049,0.988336,31.331400703000003,121.22374721800001,-2.56,-3.36,50,1,188,4.198965866900088,4.1705344094603305
184212980,226.38,-1.24,0.88,-0.92617,-0.64593,2.5488700000000004,-0.057884,-0.021501,0.959675,31.331400097000003,121.22374667700001,-2.56,-3.37,50,1,188,4.205720839688876,4.17813320414969
184213000,226.33,-1.25,0.87,-0.41074000000000005,-0.8955500000000001,2.52455,-0.058468,0.0051719999999999995,0.9905029999999999,31.331399490000003,121.223746137,-2.56,-3.37,50,1,188,4.2053076844484005,4.178719418007266
184213020,226.28,-1.27,0.84,-0.7477,-1.38121,2.46356,-0.040066,-0.015019999999999999,0.946503,31.331398882000002,121.22374559800001,-2.56,-3.38,50,1,188,4.2121185860673105,4.186213796909451
184213040,226.22,-1.26,0.81,0.36299000000000003,-1.6938000000000002,2.44268,-0.041392,-0.006862,0.937727,31.331398272,121.22374506000001,-2.5500000000000003,-3.39,50,1,188,4.211908594333629,4.186615692175791
184213060,226.18,-1.24,0.76,1.1454000000000002,-2.3666,2.21598,-0.034022,-0.008556,0.937124,31.331397664,121.223744522,-2.5500000000000003,-3.39,50,1,188,4.211555425725542,4.187091679811762
184213080,226.14000000000001,-1.21,0.71,1.0719800000000002,-2.8608700000000002,1.8486500000000001,-0.050947,-0.006588,0.990935,31.331397053000003,121.22374398400001,-2.5500000000000003,-3.4,50,1,188,4.218410554674951,4.1944946129077705
184213100,226.11,-1.19,0.64,1.01153,-3.2826400000000002,1.6410600000000002,-0.038086999999999996,-0.025394,1.023474,31.331396441000003,121.223743447,-2.5500000000000003,-3.4,50,1,188,4.218139162771632,4.194852508089038
184213120,226.08,-1.18,0.58,0.45785000000000003,-3.46207,1.3914700000000002,-0.052417,-0.01846,1.060509,31.331395827,121.22374291000001,-2.54,-3.41,50,1,188,4.218133171632287,4.194942696036948
184213140,226.06,-1.19,0.51,-0.22067,-3.6546000000000003,1.13602,-0.068226,-0.032208,1.071223,31.331395213,121.223742375,-2.5300000000000002,-3.41,50,1,188,4.211006847659048,4.187984154341013
184213160,226.04,-1.19,0.45,-0.03214,-2.78553,1.0134100000000001,-0.026768999999999998,-0.032927,1.035918,31.331394598000003,121.223741841,-2.5300000000000002,-3.42,50,1,188,4.218014789525828,4.195169752673765
184213180,226.02,-1.18,0.41000000000000003,0.28942,-2.11499,1.1221100000000002,-0.024395,-0.033486,1.0257239999999999,31.331393982,121.223741308,-2.52,-3.42,50,1,188,4.21087747662518,4.188219970469267
184213200,225.99,-1.17,0.36,0.87982,-2.3226,1.24668,-0.020426,-0.014556,1.0235459999999998,31.331393367,121.22374077500001,-2.52,-3.42,50,1,188,4.210582885361178,4.188591709119968
184213220,225.97,-1.1500000000000001,0.31,0.7255900000000001,-2.6264700000000003,1.05437,-0.001111,-0.021803,1.029504,31.331392751000003,121.22374024400001,-2.52,-3.42,50,1,188,4.210385849871745,4.188838896934396
184213240,225.95000000000002,-1.1400000000000001,0.28,0.7943600000000001,-1.85928,0.9922500000000001,-0.008296999999999999,-0.019434999999999997,1.0013859999999999,31.331392136,121.223739717,-2.52,-3.42,50,1,188,4.210188301359569,4.189085574351508
