gps_time,heading,pitch,roll,gyroX,gyroY,gyroZ,accX,accY,accZ,latitude,longitude,east_speed,north_speed,position_type,GNSS_info1,GNSS_info2,vehicle_lat_speed,vehicle_lon_speed
20373610,171.78,-1.03,0.5,0.044070000000000005,0.05047,-0.37592000000000003,-0.008595,-0.018109,0.998539,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373630,171.78,-1.03,0.5,0.09802000000000001,0.08952,-0.34769000000000005,-0.008765,-0.018378,0.998166,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373650,171.78,-1.03,0.5,0.08220000000000001,0.11352000000000001,-0.41657000000000005,-0.008799,-0.018026999999999998,0.9979079999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373670,171.78,-1.03,0.5,0.04211,0.10856,-0.34912000000000004,-0.008723999999999999,-0.018314,0.9981049999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373690,171.78,-1.03,0.5,0.05623,0.07250000000000001,-0.40469000000000005,-0.008616,-0.018163,0.998396,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373710,171.78,-1.03,0.5,0.10174000000000001,0.034510000000000006,-0.37785,-0.008662999999999999,-0.018134,0.9980479999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373730,171.78,-1.03,0.5,0.07681,0.06115,-0.37212,-0.00874,-0.018247,0.9983029999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373750,171.78,-1.03,0.5,0.04002,-0.00834,-0.35962000000000005,-0.008626,-0.018172,0.9981209999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373770,171.78,-1.03,0.5,0.11168000000000002,0.056850000000000005,-0.39740000000000003,-0.008596,-0.017953999999999998,0.99791,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20373790,171.78,-1.03,0.5,0.08769,0.08911000000000001,-0.36914,-0.00853,-0.018449999999999998,0.9982789999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
